time,u,v,w,p,q,r,phi_deg,theta_deg,psi_deg,airspeed,alpha_deg
1.084343401764977557e+02,1.037420639523235337e+02,2.779329884394893257e-02,-3.555450423272705329e+00,5.223899050801109577e-04,-6.252183554859561045e-05,2.462921685366423197e-03,1.672704151161583441e+00,-4.814934413600888696e+00,1.401108284216053868e+01,1.038029760328084166e+02,-1.962874013669143158e+00
1.084345201347509970e+02,1.037421079605216647e+02,2.779325031213727634e-02,-3.555458492182561603e+00,5.223926672331651987e-04,-6.249080532526927296e-05,2.462925467781101972e-03,1.672707400825159008e+00,-4.814935799096534019e+00,1.401110829718853168e+01,1.038030202915451099e+02,-1.962877632808243344e+00
1.084348241710358991e+02,1.037421823108484062e+02,2.779316832995461922e-02,-3.555472124322117455e+00,5.223973336374056458e-04,-6.243837388802278370e-05,2.462931858195423814e-03,1.672712891128341317e+00,-4.814938139146131668e+00,1.401115130311806922e+01,1.038030950651489235e+02,-1.962883747209082097e+00
1.084352302720714505e+02,1.037422816190626946e+02,2.779305884886352704e-02,-3.555490332484467775e+00,5.224035661492837639e-04,-6.236834788708094188e-05,2.462940394046574284e-03,1.672720224628099217e+00,-4.814941263336029564e+00,1.401120874632139746e+01,1.038031949387273301e+02,-1.962891914071204891e+00
1.084355301007742298e+02,1.037423549382986181e+02,2.779297803428788793e-02,-3.555503775561207558e+00,5.224081673848133970e-04,-6.231664367013919296e-05,2.462946696287830924e-03,1.672725639106528162e+00,-4.814943568921835393e+00,1.401125115740620686e+01,1.038032686753725926e+02,-1.962897943650525168e+00
1.084359048866527075e+02,1.037424465860626555e+02,2.779287703574876214e-02,-3.555520579165021733e+00,5.224139185778960397e-04,-6.225201996424955923e-05,2.462954574246826577e-03,1.672732407297444546e+00,-4.814946449665683303e+00,1.401130417145142637e+01,1.038033608448924241e+02,-1.962905480503287503e+00
1.084362635975697913e+02,1.037425343016245023e+02,2.779278038962360725e-02,-3.555536661792608299e+00,5.224194227306375908e-04,-6.219016604408462252e-05,2.462962114475675431e-03,1.672738885290167010e+00,-4.814949205562668588e+00,1.401135491186526316e+01,1.038034490598252120e+02,-1.962912693966172295e+00
1.084365087940888230e+02,1.037425942587663030e+02,2.779271433877901140e-02,-3.555547654916177969e+00,5.224231848834483358e-04,-6.214788749952092242e-05,2.462967268684394979e-03,1.672743313370552043e+00,-4.814951088628267151e+00,1.401138959553951047e+01,1.038035093583081192e+02,-1.962917624651033366e+00
1.084371217853864096e+02,1.037427441489554383e+02,2.779254925261404052e-02,-3.555575137221178128e+00,5.224325895344930290e-04,-6.204218392745677456e-05,2.462980154533690128e-03,1.672754383764724295e+00,-4.814955793715610000e+00,1.401147630511882625e+01,1.038036601018376786e+02,-1.962929951110531590e+00
1.084379681253353169e+02,1.037429510918913280e+02,2.779232141889359520e-02,-3.555613080088308120e+00,5.224455725570972906e-04,-6.189624988827285314e-05,2.462997946434438822e-03,1.672769668802064347e+00,-4.814962283848857716e+00,1.401159602353542510e+01,1.038038682229279033e+02,-1.962946969315403800e+00
1.084383445602852873e+02,1.037430431336054824e+02,2.779222011887323707e-02,-3.555629955869889613e+00,5.224513465042673931e-04,-6.183134591057315953e-05,2.463005860199773273e-03,1.672776467447596449e+00,-4.814965168274913943e+00,1.401164927221850931e+01,1.038039607886505706e+02,-1.962954538448846931e+00
1.084385569770877993e+02,1.037430950707808393e+02,2.779216296647096449e-02,-3.555639478509745821e+00,5.224546044854144105e-04,-6.179472115404834108e-05,2.463010325901042116e-03,1.672780303870949892e+00,-4.814966795302249913e+00,1.401167931977450642e+01,1.038040130215134411e+02,-1.962958809541397232e+00
1.084390818030784800e+02,1.037432233919054596e+02,2.779202178804753703e-02,-3.555663006074996524e+00,5.224626535613846037e-04,-6.170423884177317266e-05,2.463021359713891186e-03,1.672789782804997349e+00,-4.814970813363482094e+00,1.401175355966358538e+01,1.038041420731949671e+02,-1.962969362100755122e+00
1.084393901378198848e+02,1.037432987791351024e+02,2.779193886585976450e-02,-3.555676828249846988e+00,5.224673820284645104e-04,-6.165107388273870920e-05,2.463027842227710762e-03,1.672795351763519234e+00,-4.814973172712312177e+00,1.401179717571598538e+01,1.038042178896200483e+02,-1.962975561595404095e+00
